#,Referencia,Codigo,Marca,Categoria,Material,Precio Unitario Pza,Precio Docena (x12),Stock Actual (Pzas),Tipo Venta BD
1,"016-4","016-4","SIN MARCA","AROS OPTICOS","","$10.50","$126.00",13,"DOCENA"
2,"016-5","016-5","SIN MARCA","AROS OPTICOS","","$13.50","$162.00",5,"DOCENA"
3,"108BLUE","108BLUE","S-M","CORDONES","Nylon","$0.50","$6.00",26,"DOCENA"
4,"108RED","108RED","S-M","CORDONES","Nylon","$0.50","$6.00",194,"DOCENA"
5,"11SHOESASSORT","11SHOESASSORT","SM","ACCESORIOS","Silicona","$0.83","$9.96",282,"DOCENA"
6,"11SHOESBLK","11SHOESBLK","SM","ACCESORIOS","Silicona","$0.83","$9.96",27,"DOCENA"
7,"11SHOESBRN","11SHOESBRN","SM","ACCESORIOS","Silicona","$0.83","$9.96",397,"DOCENA"
8,"11SHOESCL","11SHOESCL","SM","ACCESORIOS","Silicona","$0.83","$9.96",45,"DOCENA"
9,"14WHITEG","14WHITEG","S-M","ESTUCHE","PVC","$0.63","$7.56",6,"DOCENA"
10,"201BLK","201BLK","S-M","AROS OPTICOS","","$27.00","$324.00",24,"DOCENA"
11,"2283","2283","S-M","CORDONES","Acrílico","$2.58","$30.96",115,"DOCENA"
12,"22N088","22N088","S-M","CORDONES","Acrílico","$1.38","$16.56",110,"DOCENA"
13,"22N089","22N089","S-M","CORDONES","Poliéster","$1.38","$16.56",113,"DOCENA"
14,"22N090","22N090","S-M","CORDONES","Poliéster","$1.38","$16.56",73,"DOCENA"
15,"240620C3","240620C3","GREKO","AROS OPTICOS","","$3.70","$44.40",1,"DOCENA"
16,"240629C3","240629C3","N/A","N/A","Acetato / Metal","$3.70","$44.40",1,"DOCENA"
17,"240635C1","240635C1","N/A","N/A","Acetato / Metal","$3.70","$44.40",1,"DOCENA"
18,"51020BLUEP100","51020BLUEP100","SIN MARCA","AROS OPTICOS","","$0.80","$9.60",5,"DOCENA"
19,"82012C5","82012C5","MEGGAN","AROS OPTICOS","","$4.30","$51.60",1,"DOCENA"
20,"82031C11","82031C11","KARYNY","AROS OPTICOS","","$6.20","$74.40",1,"DOCENA"
21,"82277C1","82277C1","KARYNY","AROS OPTICOS","","$6.60","$79.20",1,"DOCENA"
22,"82277C2","82277C2","KARYNY","AROS OPTICOS","","$6.60","$79.20",1,"DOCENA"
23,"8601C1","8601C1","HI-LINE","AROS OPTICOS","","$3.60","$43.20",21,"DOCENA"
24,"876875-1","876875-1","N/A","N/A","Acrílico","$2.42","$29.04",15,"DOCENA"
25,"876875-2","876875-2","S-M","CORDONES","Acrílico","$2.08","$24.96",36,"DOCENA"
26,"8ESCREW","8ESCREW","SM","ACCESORIOS","","$9.00","$108.00",18,"DOCENA"
27,"90HANDBAG","90HANDBAG","SM","ESTUCHE","Sintético","$4.00","$48.00",99,"DOCENA"
28,"91HANDBAG","91HANDBAG","SM","ESTUCHE","Sintético","$4.00","$48.00",98,"DOCENA"
29,"92601C6","92601C6","KARYNY","AROS OPTICOS","","$6.00","$72.00",1,"DOCENA"
30,"9505C1","9505C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
31,"9505C2","9505C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
32,"9505C3","9505C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
33,"9505C4","9505C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
34,"9505C5","9505C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
35,"9507C1","9507C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
36,"9507C2","9507C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
37,"9507C3","9507C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
38,"9507C4","9507C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
39,"9507C5","9507C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
40,"9515C1","9515C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
41,"9515C2","9515C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
42,"9515C3","9515C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
43,"9515C4","9515C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
44,"9515C5","9515C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
45,"9516C1","9516C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
46,"9516C2","9516C2","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
47,"9516C3","9516C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
48,"9516C4","9516C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
49,"9516C5","9516C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
50,"9520C1","9520C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
51,"9520C3","9520C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
52,"9520C4","9520C4","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
53,"9520C5","9520C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
54,"9521C1","9521C1","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",8,"DOCENA"
55,"9521C3","9521C3","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
56,"9521C5","9521C5","SIN MARCA","AROS OPTICOS","","$9.20","$110.40",1,"DOCENA"
